tmdb_id,title,genres,worldwide_revenue_usd,predicted_revenue_usd,absolute_error_usd,release_year,budget_usd,prediction_lower_usd,prediction_upper_usd,blockbuster_probability,blockbuster_actual,blockbuster_predicted,signed_error_usd,revenue_band
522016,The 355,Action; Adventure; Thriller,55700000.0,58408760.30582428,2708760.30582428,2022,75000000.0,0.0,211366556.18274483,0.0275809793823281,0,0,2708760.30582428,Regular (<$250M)
575322,Project Gemini,Science Fiction; Thriller,211674.0,4394008.45301581,4182334.45301581,2022,6000000.0,0.0,157351804.32993636,0.020802882925697,0,0,4182334.45301581,Regular (<$250M)
646385,Scream,Horror; Mystery,138874789.0,75438397.9719892,63436391.0280108,2022,24000000.0,0.0,228396193.84890977,0.0209672054226104,0,0,-63436391.0280108,Regular (<$250M)
760926,Gold (2022),Action; Adventure; Thriller,176048.0,2323194.2741938587,2147146.2741938587,2022,6500000.0,0.0,155280990.1511144,0.020802882925697,0,0,2147146.2741938587,Regular (<$250M)
245842,The King's Daughter,Fantasy; Adventure; Family,2200000.0,19387798.38759957,17187798.38759957,2022,40500000.0,0.0,172345594.2645201,0.0209706380367889,0,0,17187798.38759957,Regular (<$250M)
698508,Redeeming Love,Romance; Drama; Western,9464198.0,18821581.1803399,9357383.1803399,2022,30000000.0,0.0,171779377.05726045,0.0209605275629667,0,0,9357383.1803399,Regular (<$250M)
591120,The Pirates: The Last Royal Treasure,Action; Adventure; Comedy; Fantasy,10247262.0,26623125.986564603,16375863.986564605,2022,19597380.0,0.0,179580921.86348516,0.0214004570330179,0,0,16375863.986564605,Regular (<$250M)
557946,Last Looks,Action; Crime; Thriller,365644.0,739607.0871803911,373963.087180391,2022,,0.0,153697402.96410096,0.020802882925697,0,0,373963.087180391,Regular (<$250M)
661791,The Grandmother,Drama; Horror,1817696.0,4375592.906980295,2557896.9069802947,2022,3749231.0,0.0,157333388.78390086,0.0208282620888054,0,0,2557896.9069802947,Regular (<$250M)
803114,The Requin,Horror; Mystery; Thriller,130493.0,1919099.138435187,1788606.138435187,2022,8500000.0,0.0,154876895.01535574,0.020802882925697,0,0,1788606.138435187,Regular (<$250M)
585083,Hotel Transylvania: Transformania,Animation; Comedy; Family; Adventure; Fantasy,18500000.0,259196441.6256718,240696441.6256718,2022,75000000.0,106238645.74875124,412154237.5025923,0.0913893296053607,0,1,240696441.6256718,Regular (<$250M)
656663,Jackass Forever,Action; Comedy; Documentary,80563999.0,72482342.18028948,8081656.819710523,2022,10000000.0,0.0,225440138.05721003,0.0209672054226104,0,0,-8081656.819710523,Regular (<$250M)
406759,Moonfall,Science Fiction; Adventure; Action,67319703.0,90004206.53475098,22684503.534750983,2022,146000000.0,0.0,242962002.41167152,0.0432135338461324,0,0,22684503.534750983,Regular (<$250M)
746333,Superwho?,Comedy; Action; Family,7375119.0,940971.959925708,6434147.040074292,2022,,0.0,153898767.83684626,0.020802882925697,0,0,-6434147.040074292,Regular (<$250M)
505026,Death on the Nile,Mystery; Crime; Thriller,137307235.0,199594209.5368834,62286974.536883414,2022,90000000.0,46636413.65996286,352552005.41380394,0.0397303907837256,0,0,62286974.536883414,Regular (<$250M)
615904,Marry Me,Romance; Comedy; Music,44000000.0,13282748.725261329,30717251.27473867,2022,23000000.0,0.0,166240544.60218188,0.0208178805256418,0,0,-30717251.27473867,Regular (<$250M)
335787,Uncharted,Action; Adventure; Mystery,407141258.0,356544004.79212195,50597253.20787805,2022,120000000.0,203586208.9152014,509501800.66904247,0.3321899286618413,1,1,-50597253.20787805,Blockbuster (>$400M)
823625,Blacklight,Action; Thriller; Adventure,15902207.0,9520129.537585557,6382077.4624144435,2022,43000000.0,0.0,162477925.4145061,0.0209389259038926,0,0,-6382077.4624144435,Regular (<$250M)
778855,Chickenhare and the Hamster of Darkness,Animation; Adventure; Comedy; Family; Fantasy,10885116.0,9475949.695881488,1409166.3041185122,2022,20000000.0,0.0,162433745.57280204,0.0214719730448931,0,0,-1409166.3041185122,Regular (<$250M)
396194,Ennio,Documentary; Music; History,4332386.0,2156044.240470658,2176341.759529342,2022,,0.0,155113840.1173912,0.021324941375055,0,0,-2176341.759529342,Regular (<$250M)
626735,Dog,Drama; Comedy,84774243.0,6777305.317487502,77996937.68251249,2022,20000000.0,0.0,159735101.19440806,0.0208282620888054,0,0,-77996937.68251249,Regular (<$250M)
924482,The Ledge (2022),Thriller; Adventure,685303.0,1099136.0202842082,413833.02028420824,2022,2500000.0,0.0,154056931.89720476,0.020802882925697,0,0,413833.02028420824,Regular (<$250M)
